Drug,Index
Metformin,0
phenyl biguanide,1
Valproic Acid,2
Estradiol,3
alpha-estradiol,4
Dexamethasone,5
Mesalazine,6
Chlorpropamide,7
Tamoxifen,8
Verapamil,9
Amitriptyline,10
Sulindac,11
Tacrolimus,12
Masoprocol,13
Rofecoxib,14
Celecoxib,15
LM-1685,16
SC-58125,17
Tanespimycin,18
tomelukast,19
Arotinoid acid,20
Tretinoin,21
LY-294002,22
Ciclosporin,23
Indometacin,24
Clofibrate,25
MK-886,26
Prednisolone,27
Thalidomide,28
Genistein,29
Fludrocortisone,30
Quercetin,31
sulindac sulfide,32
Fulvestrant,33
Monastrol,34
Staurosporine,35
NU-1025,36
Exisulind,37
Acetylsalicylic acid,38
Flufenamic Acid,39
N-phenylanthranilic acid,40
monorden,41
Sirolimus,42
arachidonyltrifluoromethane,43
trichostatin A,44
Diclofenac,45
Mercaptopurine,46
Felodipine,47
Azathioprine,48
Novobiocin,49
Fasudil,50
2-deoxyglucose,51
Imatinib,52
pirinixic acid,53
Rosiglitazone,54
Troglitazone,55
Raloxifene,56
Wortmannin,57
tetraethylenepentamine,58
Clozapine,59
Thioridazine,60
Haloperidol,61
Chlorpromazine,62
Trifluoperazine,63
Iloprost,64
Oxamic Acid,65
Arachidonic Acid,66
Prochlorperazine,67
quinpirole,68
Deferoxamine,69
calmidazolium,70
Fluphenazine,71
Dopamine,72
Gefitinib,73
"1,5-isoquinolinediol",74
Fisetin,75
butein,76
HNMPA-(AM)3,77
dimethyloxalylglycine,78
3-aminobenzamide,79
Bucladesine,80
Probucol,81
Geldanamycin,82
Resveratrol,83
Colchicine,84
Pentamidine,85
Paclitaxel,86
Benserazide,87
Tioguanine,88
docosahexaenoic acid ethyl ester,89
rottlerin,90
quinostatin,91
ikarugamycin,92
Pyrvinium,93
depudecin,94
ionomycin,95
celastrol,96
pararosaniline,97
Colforsin,98
Carbamazepine,99
Oxaprozin,100
Vorinostat,101
Alvespimycin,102
tyrphostin AG-825,103
DL-PPMP,104
BW-B70C,105
MG-132,106
tyrphostin AG-1478,107
Procainamide,108
thioguanosine,109
Bepridil,110
dequalinium chloride,111
Ritodrine,112
Buspirone,113
Hesperidin,114
androsterone,115
Ouabain,116
Anisomycin,117
Corticosterone,118
Cefixime,119
Bacampicillin,120
digitoxigenin,121
Meclocycline,122
Primaquine,123
Chlorogenic Acid,124
Mefloquine,125
Diazoxide,126
Clindamycin,127
Nicergoline,128
Spironolactone,129
Neomycin,130
dizocilpine,131
Cefotaxime,132
Thioproperazine,133
Dihydrostreptomycin,134
Pindolol,135
nocodazole,136
Dihydroergotamine,137
Tranexamic acid,138
ampyrone,139
Midodrine,140
Piroxicam,141
etofylline,142
Chlorzoxazone,143
Fenspiride,144
Hyoscyamine,145
Chlorphenesin,146
Ethosuximide,147
Aztreonam,148
hydrastinine,149
Tolfenamic Acid,150
nifenazone,151
Cloxacillin,152
Sulfathiazole,153
Cimetidine,154
Naphazoline,155
Minaprine,156
Amiloride,157
Doxylamine,158
Pyrimethamine,159
Ticlopidine,160
Miconazole,161
Prednisone,162
Ethambutol,163
hexamethonium bromide,164
Dicyclomine,165
Oxetacaine,166
Isoxsuprine,167
Hydrochlorothiazide,168
Captopril,169
Amylocaine,170
Pheniramine,171
sulfaguanidine,172
Minoxidil,173
Tolazoline,174
Tolnaftate,175
khellin,176
Apomorphine,177
Naloxone,178
Bromocriptine,179
Glipizide,180
Erythromycin,181
cotinine,182
Zimelidine,183
Amoxapine,184
metanephrine,185
Dipyridamole,186
oleandomycin,187
edrophonium chloride,188
azacyclonol,189
Cyproheptadine,190
Ciprofloxacin,191
Dehydrocholic acid,192
Hydroxyzine,193
Chlorhexidine,194
Midecamycin,195
moroxydine,196
Famotidine,197
Ampicillin,198
Hesperetin,199
Loperamide,200
Josamycin,201
Baclofen,202
Perphenazine,203
Chlortetracycline,204
Acyclovir,205
Lisuride,206
Glyburide,207
Clotrimazole,208
Labetalol,209
Clonidine,210
Antazoline,211
Bupropion,212
Etacrynic acid,213
Mepyramine,214
Mifepristone,215
Sulfisoxazole,216
Clopamide,217
Methylergometrine,218
Kanamycin,219
Clenbuterol,220
Hycanthone,221
Etoposide,222
8-azaguanine,223
Procaine,224
Dexpanthenol,225
Epirizole,226
Hydroflumethiazide,227
Betazole,228
Triflupromazine,229
Mefenamic acid,230
Thiamphenicol,231
Diphenhydramine,232
adiphenine,233
Dirithromycin,234
Chloroquine,235
Mesoridazine,236
Etamivan,237
clorsulon,238
Parthenolide,239
scoulerine,240
Dihydroergocristine,241
Mometasone,242
lobelanidine,243
Ajmaline,244
dipivefrine,245
Noscapine,246
harmine,247
piperlongumine,248
Atropine,249
Lobeline,250
calycanthine,251
"1,4-chrysenequinone",252
pseudopelletierine,253
Berberine,254
Racecadotril,255
epivincamine,256
aconitine,257
(+)-chelidonine,258
isocorydine,259
meticrane,260
Moxisylyte,261
Imipramine,262
Triamterene,263
Acetohexamide,264
Isoflupredone,265
Sulfaphenazole,266
morantel,267
todralazine,268
Benzonatate,269
Sulfadiazine,270
Dyphylline,271
Naproxen,272
Levodopa,273
Diltiazem,274
Methotrexate,275
Acebutolol,276
Metolazone,277
Lynestrenol,278
Danazol,279
Ivermectin,280
Chlorphenamine,281
acetylsalicylsalicylic acid,282
Nalbuphine,283
Mianserin,284
Acenocoumarol,285
Triamcinolone,286
Etodolac,287
pentetrazol,288
Levamisole,289
Pyrantel,290
antimycin A,291
Pargyline,292
Xylometazoline,293
Alverine,294
Methocarbamol,295
Nimesulide,296
Gemfibrozil,297
Mafenide,298
Meclofenamic acid,299
Rescinnamine,300
Galantamine,301
Ergoloid mesylate,302
palmatine,303
Bicuculline,304
canavanine,305
Diflorasone,306
gramine,307
protoveratrine A,308
emetine,309
yohimbic acid,310
Harmaline,311
harman,312
solanine,313
sulmazole,314
Glimepiride,315
Dydrogesterone,316
Sulfabenzamide,317
picrotoxinin,318
gelsemine,319
canadine,320
succinylsulfathiazole,321
Benzocaine,322
Flunisolide,323
mepenzolate bromide,324
eldeline,325
pempidine,326
famprofazone,327
metamizole sodium,328
citiolone,329
heliotrine,330
Sulfamerazine,331
Bromopride,332
Isosorbide,333
Halcinonide,334
acacetin,335
Sulfachlorpyridazine,336
helveticoside,337
beta-escin,338
lycorine,339
Chlorcyclizine,340
Pramocaine,341
foliosidine,342
Gossypol,343
karakoline,344
etiocholanolone,345
Diphenylpyraline,346
Finasteride,347
Naltrexone,348
Astemizole,349
Disulfiram,350
Aminophenazone,351
Nomifensine,352
Terfenadine,353
Canrenoic acid,354
ursolic acid,355
picotamide,356
Pirenzepine,357
Tetracycline,358
Gentamicin,359
Isoniazid,360
Norfloxacin,361
Tiratricol,362
Oxolinic acid,363
Ornidazole,364
Flumequine,365
Oxymetazoline,366
Aceclofenac,367
mefexamide,368
Metampicillin,369
Iproniazid,370
Pentoxifylline,371
Tiapride,372
Griseofulvin,373
Riluzole,374
Sulfamethoxazole,375
Nalidixic acid,376
Metaraminol,377
kawain,378
Mebendazole,379
clemizole,380
Ofloxacin,381
Nitrofurantoin,382
Mephenesin,383
Pentolinium,384
Salbutamol,385
Trimethoprim,386
Fenbufen,387
Tropicamide,388
Lomefloxacin,389
Hydralazine,390
Phenformin,391
6-benzylaminopurine,392
Prilocaine,393
Metoclopramide,394
Ketoprofen,395
Nefopam,396
Orphenadrine,397
Phenelzine,398
Tolbutamide,399
Camptothecin,400
Phentolamine,401
ethisterone,402
Vincamine,403
dilazep,404
fenbendazole,405
proglumide,406
Lisinopril,407
Ifenprodil,408
Flavoxate,409
Fenoterol,410
Trazodone,411
Doxepin,412
Cortisone,413
homochlorcyclizine,414
glafenine,415
telenzepine,416
Nortriptyline,417
Dyclonine,418
Diethylcarbamazine,419
pimethixene,420
Enalapril,421
dropropizine,422
Niflumic Acid,423
Fenofibrate,424
Pergolide,425
Bupivacaine,426
Minocycline,427
Pinacidil,428
Isotretinoin,429
Disopyramide,430
Acemetacin,431
Digoxin,432
Meclizine,433
naringin,434
Progesterone,435
Butoconazole,436
Biotin,437
cephaeline,438
velnacrine,439
Melatonin,440
neostigmine bromide,441
Amiodarone,442
Bisacodyl,443
Cholecalciferol,444
Carbimazole,445
Pilocarpine,446
Menadione,447
Amphotericin B,448
Ergocalciferol,449
Cisapride,450
epiandrosterone,451
Dicloxacillin,452
Dinoprost,453
Ceforanide,454
Puromycin,455
Metixene,456
Vigabatrin,457
Fluoxetine,458
Glycocholic acid,459
pirenperone,460
Ciclopirox,461
Hexetidine,462
Cefotiam,463
Biperiden,464
Iohexol,465
thiostrepton,466
salsolidin,467
Probenecid,468
Selegiline,469
6-azathymine,470
Omeprazole,471
Cetirizine,472
norcyclobenzaprine,473
Phenacetin,474
Betahistine,475
Benperidol,476
Propylthiouracil,477
etifenin,478
Pyrazinamide,479
Thiabendazole,480
Atovaquone,481
Tolazamide,482
Cefaclor,483
Terconazole,484
Orciprenaline,485
Trimethadione,486
Methoxamine,487
nifuroxazide,488
Colistin,489
Tiaprofenic acid,490
Sisomicin,491
Lovastatin,492
Ethionamide,493
Pregnenolone,494
Vancomycin,495
Nystatin,496
Tenoxicam,497
Suxibuzone,498
skimmianine,499
ricinine,500
estropipate,501
Tetryzoline,502
Fluorometholone,503
Kinetin,504
anabasine,505
delsoline,506
Hexestrol,507
Trioxsalen,508
Cefalotin,509
butirosin,510
abamectin,511
Tetrandrine,512
fluorocurarine,513
napelline,514
Cefmetazole,515
strophanthidin,516
Cefuroxime,517
altizide,518
sulfaquinoxaline,519
Nadide,520
Terazosin,521
Butamben,522
Alclometasone,523
ramifenazone,524
Streptozocin,525
Sulfamethizole,526
Phenazopyridine,527
Sulfapyridine,528
Leflunomide,529
Podofilox,530
propidium iodide,531
Pheneticillin,532
Metoprolol,533
Medrysone,534
Demeclocycline,535
meclofenoxate,536
Levonorgestrel,537
Cloperastine,538
sulfamethoxypyridazine,539
Flumethasone,540
Flunixin,541
Fenoprofen,542
Bendroflumethiazide,543
eucatropine,544
Flecainide,545
Spiramycin,546
ethoxyquin,547
Sulfamethazine,548
Dicoumarol,549
Isocarboxazid,550
Mephentermine,551
Cefazolin,552
glycopyrronium bromide,553
Diethylstilbestrol,554
Guaifenesin,555
Methimazole,556
lithocholic acid,557
alpha-ergocryptine,558
atractyloside,559
Guanadrel,560
alexidine,561
Sulfadimethoxine,562
calcium folinate,563
monensin,564
Amoxicillin,565
Benfluorex,566
naftidrofuryl,567
Pentoxyverine,568
Clomifene,569
zoxazolamine,570
N6-methyladenosine,571
Chlorprothixene,572
Cephalexin,573
Bezafibrate,574
oxantel,575
Tacrine,576
Guanfacine,577
Dextromethorphan,578
Mimosine,579
Ketoconazole,580
Bisoprolol,581
Flupentixol,582
Droperidol,583
clebopride,584
Fusidic Acid,585
Testosterone,586
suloctidil,587
coralyne,588
3-hydroxy-DL-kynurenine,589
Domperidone,590
Arecoline,591
Ribostamycin,592
Vidarabine,593
proadifen,594
