lncRNA,Index
AL355922.1,0
AC007389.3,1
LINC00574,2
SNHG20,3
MEG3,4
NEAT1,5
PART1,6
LINC01136,7
TP53TG1,8
AL021937.4,9
NOP14-AS1,10
LINC00563,11
SMAD5-AS1,12
AC098487.1,13
MAPKAPK5-AS1,14
LINC02172,15
SNHG14,16
SMIM27,17
PVT1,18
NDST2,19
LINC00599,20
LINC00339,21
WT1-AS,22
MMP24OS,23
AC090360.1,24
AFDN-DT,25
AL441883.1,26
KIF25-AS1,27
AL359182.1,28
ZNF213-AS1,29
MCF2L-AS1,30
AP003469.4,31
MYCNOS,32
ZNF710-AS1,33
SNHG3,34
MYMX,35
AC110760.2,36
THAP9-AS1,37
AC068870.1,38
LINC00474,39
ELOA-AS1,40
NBPF1,41
XIST,42
TP73-AS1,43
AC004690.2,44
AL157838.1,45
RHPN1-AS1,46
AC010542.4,47
AC013391.3,48
GSN-AS1,49
AC093010.3,50
AC002310.2,51
LINC00342,52
BRD3OS,53
IDI2-AS1,54
SNHG17,55
AC010834.1,56
AL034550.1,57
KLF3-AS1,58
PRIM2,59
AC141586.3,60
PYY2,61
KCNQ1DN,62
AC007405.1,63
SMG7-AS1,64
DIAPH2-AS1,65
AL157395.1,66
HEXA-AS1,67
FOXD1-AS1,68
AC007876.1,69
EGOT,70
HAND2-AS1,71
LINC01361,72
AC007613.1,73
AP001062.1,74
LINC00472,75
PRKCZ-AS1,76
AC044802.1,77
AC004817.1,78
AC004674.1,79
AC012377.1,80
VENTXP1,81
Z83844.2,82
AC036108.1,83
CERNA1,84
ANKRD40CL,85
LINC00588,86
AC027702.1,87
BPESC1,88
AL139352.1,89
VASH1-AS1,90
ENSG00000229645,91
AL117378.1,92
AC096564.2,93
FOXN3-AS2,94
CROCCP2,95
TCL6,96
ACVR2B-AS1,97
ATXN8OS,98
LINC00652,99
LINC01963,100
MIR22HG,101
CTXND1,102
NDUFB2-AS1,103
MCM3AP-AS1,104
LINC00963,105
AL450384.2,106
AL031598.1,107
TUG1,108
AL359924.1,109
RFPL1S,110
LINC00939,111
RP11-654A16.3,112
RP11-217B7.2,113
GS1-600G8.3,114
AC007405.4,115
RP11-490O6.2,116
RP11-473M20.14,117
RP11-65G9.1,118
ARAP2,119
RP1-28O17.1,120
CASP8AP2,121
RCL1,122
FTX,123
IL12A-AS1,124
AC004237.1,125
RP11-314A20.2,126
RGPD4-AS1,127
RP11-84C10.2,128
PEX5L-AS2,129
LINC00266-1,130
RP4-792G4.2,131
CTA-211A9.5,132
RP3-525N10.2,133
LINC00309,134
LINC00483,135
RP11-25K19.1,136
TAS2R1,137
AC013275.2,138
SHANK2-AS3,139
RP11-263K19.4,140
RP11-359K18.3,141
RP11-544L8__B.4,142
TTTY14,143
DDX11-AS1,144
RP11-463J7.2,145
CTD-2201E18.3,146
RP11-998D10.4,147
AP001604.3,148
RP11-143E21.6,149
GS1-24F4.2,150
AP000345.1,151
LINC00314,152
LINC00305,153
AC025335.1,154
TTTY11,155
RP4-539M6.14,156
FAM225A,157
RP11-834C11.4,158
ATG9B,159
LINC00471,160
DLEU2,161
LINC00301,162
RP11-10L12.4,163
HOXB7,164
LINC00482,165
RP11-231E19.1,166
RP1-46F2.2,167
LINC00210,168
MATN1-AS1,169
NEBL-AS1,170
RP11-161I2.1,171
RP11-53B5.1,172
LINC00319,173
RP11-431M7.3,174
RP11-756H20.1,175
AC069277.2,176
AC005772.2,177
LINC00615,178
LINC00867,179
LINC00708,180
RP11-425I13.3,181
GATA3-AS1,182
RP11-421F16.3,183
FLVCR1-AS1,184
RP3-337H4.8,185
Z99756.1,186
RP11-351J23.1,187
CTD-2313J17.5,188
AC079586.1,189
RP11-638F5.1,190
RP5-963E22.5,191
ATP11A-AS1,192
CTD-2126E3.1,193
CTC-308K20.1,194
ATP6V0E2-AS1,195
RP11-497E19.1,196
LINC00487,197
RP11-503N18.1,198
RP11-834C11.8,199
RP11-24P14.1,200
RP11-414H17.5,201
RP5-944M2.3,202
ERVH48-1,203
LINC00887,204
RP11-699L21.1,205
LINC00488,206
CTD-2251F13.1,207
AC104654.1,208
RP11-742B18.1,209
RP11-67L3.4,210
RP11-669N7.2,211
RP11-26J3.1,212
TLR8-AS1,213
LINC00598,214
CHRM3-AS2,215
LINC00189,216
LINC01139,217
KIRREL3-AS3,218
AC079354.3,219
RP5-1172A22.1,220
RP5-858B6.3,221
RP11-112L7.1,222
RP1-171K16.5,223
AC004041.2,224
RP11-15M15.1,225
AC007365.1,226
LINC00630,227
SLC26A4-AS1,228
AY269186.1,229
AC002463.3,230
AC091633.3,231
AC004947.2,232
RP11-554I8.2,233
IL10RB-AS1,234
RP11-465B22.5,235
RP11-135J2.3,236
OSER1-AS1,237
RP11-24J23.2,238
AC009948.5,239
RP11-165H23.1,240
RP11-130F10.1,241
AC005022.1,242
LINC00691,243
RP11-84D1.2,244
CTD-2350J17.1,245
RP11-151E14.1,246
AP001630.5,247
GS1-18A18.1,248
LINC01142,249
CTD-3179P9.2,250
CHL1-AS2,251
RP11-290F20.3,252
RP11-48F14.1,253
LINC01087,254
RP4-564F22.5,255
RP11-222A5.1,256
TEX26-AS1,257
RP5-933E2.1,258
LINC00853,259
TMEM72-AS1,260
AC079117.1,261
RP1-90J20.8,262
RP11-262H14.3,263
AC073283.4,264
ZBED3-AS1,265
